Author,Latitude,Longitude,Biome,Ecosystem_type,Ecosystem_state,Rs_annual,Rh_annual,Rs_growingseason,Year,SPEI12,SPEI24,SPEI12_y1,SPEI24_y1,Tair,Tsoil_lev1,Tsoil_lev2,VWC_lev1,VWC_lev2,Precip,LAI_high,LAI_low,Soil_type_number,Soil_type_name,Veg_type_hi,Veg_type_low,MODIS_NPP,MODIS_GPP
Gough,45.59,-84.72,Temperate,Forest,Natural,782,422,NA,2004,0.225,-0.496,-1.038,-0.051,6.31,8.26,8.16,0.236,0.233,30.85,3.86,1.68,1,Sand,19,1,NA,NA
Gough,45.59,-84.72,Temperate,Forest,Natural,782,368,NA,2004,0.225,-0.496,-1.038,-0.051,6.31,8.26,8.16,0.236,0.233,30.85,3.86,1.68,1,Sand,19,1,NA,NA
Gough,45.59,-84.72,Temperate,Forest,Natural,1090,643,NA,2004,0.225,-0.496,-1.038,-0.051,6.31,8.26,8.16,0.236,0.233,30.85,3.86,1.68,1,Sand,19,1,NA,NA
Gough,45.59,-84.72,Temperate,Forest,Natural,930,474,NA,2004,0.225,-0.496,-1.038,-0.051,6.31,8.26,8.16,0.236,0.233,30.85,3.86,1.68,1,Sand,19,1,NA,NA
Gough,45.59,-84.72,Temperate,Forest,Natural,NA,502,NA,2001,0.089,-0.324,-0.536,-1.069,7.58,9.46,9.38,0.231,0.23,30.72,3.86,1.68,1,Sand,19,1,NA,NA
Khomik,48.22,-82.16,Boreal,Forest,Natural,911,NA,NA,2003,-0.301,0.685,1.142,0.598,2.25,6.05,5.92,0.238,0.237,28.44,4.45,0,1,Sand,18,0,632.8,1049.7
Khomik,48.22,-82.16,Boreal,Forest,Natural,918,NA,NA,2004,0.614,0.194,-0.301,0.685,2.11,5.95,5.88,0.236,0.236,27.68,4.45,0,1,Sand,18,0,607.1,1001.2
Schindlbacher,47.58,11.64,Temperate,Forest,Natural,525,NA,NA,2005,0.036,-0.694,-0.936,-1.502,4.13,5.82,5.78,0.377,0.379,66.92,3.92,1.15,2,Loamy sand,5,0,728,1171.1
Rey,42.4,11.92,Temperate,Forest,Managed,1097,604,NA,2000,-0.966,-0.093,-0.974,0.276,15.25,15.8,15.67,0.275,0.297,27.17,2.91,3.29,2,Loamy sand,19,16,NA,1777.5
Russell,53.63,-106.2,Boreal,Forest,Natural,905,362,NA,1994,0.018,-0.411,-0.712,-1.13,1.16,5.32,5.06,0.301,0.289,17.9,4.26,0.23,3,Sandy loam,5,0,NA,NA
Larionova,54.83,37.58,Temperate,Forest,Unmanaged,380,230,NA,1992,0.122,0.852,1.298,1.882,5.5,6.88,6.77,0.428,0.422,21.05,2.69,3.07,4,Silt loam,19,1,NA,NA
Larionova,54.83,37.58,Temperate,Grassland,Managed,190,140,NA,1992,0.122,0.852,1.298,1.882,5.5,6.88,6.77,0.428,0.422,21.05,2.69,3.07,4,Silt loam,19,1,NA,NA
Larionova,54.83,37.58,Temperate,Agriculture,Managed,150,125,NA,1992,0.122,0.852,1.298,1.882,5.5,6.88,6.77,0.428,0.422,21.05,2.69,3.07,4,Silt loam,19,1,NA,NA
Larionova,54.83,37.58,Temperate,Forest,Unmanaged,640,230,NA,1992,0.122,0.852,1.298,1.882,5.5,6.88,6.77,0.428,0.422,21.05,2.69,3.07,4,Silt loam,19,1,NA,NA
Larionova,54.83,37.58,Temperate,Grassland,Managed,475,140,NA,1992,0.122,0.852,1.298,1.882,5.5,6.88,6.77,0.428,0.422,21.05,2.69,3.07,4,Silt loam,19,1,NA,NA
Larionova,54.83,37.58,Temperate,Agriculture,Managed,175,125,NA,1992,0.122,0.852,1.298,1.882,5.5,6.88,6.77,0.428,0.422,21.05,2.69,3.07,4,Silt loam,19,1,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,750,NA,NA,1995,-0.852,-0.394,0.237,0.043,8.64,9.37,9.27,0.219,0.218,34.18,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,710,NA,NA,1995,-0.852,-0.394,0.237,0.043,8.64,9.37,9.27,0.219,0.218,34.18,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,701,NA,NA,1995,-0.852,-0.394,0.237,0.043,8.64,9.37,9.27,0.219,0.218,34.18,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,670,NA,NA,1995,-0.852,-0.394,0.237,0.043,8.64,9.37,9.27,0.219,0.218,34.18,5.26,0,1,Sand,5,0,NA,NA
Savage,42.53,-72.18,Temperate,Forest,Natural,550,NA,NA,1995,-0.852,-0.394,0.237,0.043,8.64,9.37,9.27,0.219,0.218,34.18,5.26,0,1,Sand,5,0,NA,NA
