Author,Latitude,Longitude,Biome,Ecosystem_type,Ecosystem_state,Rs_annual,Rh_annual,Rs_growingseason,Year,SPEI12,SPEI24,SPEI12_y1,SPEI24_y1,Tair,Tsoil_lev1,Tsoil_lev2,VWC_lev1,VWC_lev2,Precip,LAI_high,LAI_low,Soil_type_number,Soil_type_name,Veg_type_hi,Veg_type_low,MODIS_NPP,MODIS_GPP
Groffman,43.93,-71.75,Temperate,Forest,Natural,2.85,NA,NA,2000,-0.014,-0.189,-0.337,-0.507,4.87,6.08,5.98,0.252,0.244,39.65,5.21,0,1,Sand,5,0,NA,1496
Groffman,43.93,-71.75,Temperate,Forest,Natural,2.69,NA,NA,1998,-0.448,0.488,1.044,1.565,6.91,7.8,7.81,0.242,0.241,39.4,5.21,0,1,Sand,5,0,NA,NA
Groffman,43.93,-71.75,Temperate,Forest,Natural,4.44,NA,NA,1999,-0.337,-0.507,-0.448,0.488,6.53,7.44,7.31,0.241,0.238,39.67,5.21,0,1,Sand,5,0,NA,NA
Groffman,43.93,-71.75,Temperate,Forest,Natural,2.85,NA,NA,2000,-0.014,-0.189,-0.337,-0.507,4.87,6.08,5.98,0.252,0.244,39.65,5.21,0,1,Sand,5,0,NA,1496
Qin,38.42,98.31,Boreal,Grassland,Natural,NA,NA,1.75,2012,1.021,0.726,-0.079,0.277,-5.44,-2.72,-2.92,0.378,0.368,19.99,0,1.01,3,Sandy loam,0,2,125,178.9
Risk,-77.84,166.68,Arctic,Tundra,Natural,18.98,NA,NA,2011,1.153,1.043,0.122,-0.144,-17.55,-27.92,-28.08,0.01,0.01,10.17,0,0,1,Sand,1,1,NA,NA
Lyuri,58.27,33.23,Boreal,Agriculture,Managed,NA,NA,2.78,2011,-0.302,-0.216,-0.02,0.575,5.51,7.42,7.42,0.358,0.356,28.5,4,2.42,2,Loamy sand,3,1,567.9,926.7
Lyuri,58.27,33.23,Boreal,Grassland,Managed,NA,NA,4.17,2011,-0.302,-0.216,-0.02,0.575,5.51,7.42,7.42,0.358,0.356,28.5,4,2.42,2,Loamy sand,3,1,567.9,926.7
Lyuri,58.07,33.32,Boreal,Forest,Managed,NA,NA,2.55,2011,-0.461,-0.456,-0.144,0.372,5.5,7.31,7.3,0.357,0.356,27.76,3.72,0.08,2,Loamy sand,19,0,575.6,944.2
Lyuri,58.08,33.32,Boreal,Forest,Managed,NA,NA,1.62,2011,-0.461,-0.456,-0.144,0.372,5.5,7.31,7.3,0.357,0.356,27.76,3.72,0.08,2,Loamy sand,19,0,618.7,989.5
Lyuri,58.11,33.38,Boreal,Forest,Managed,NA,NA,1.85,2011,-0.474,-0.406,-0.067,0.446,5.46,7.27,7.26,0.356,0.355,27.5,3.92,0.08,2,Loamy sand,3,0,591,984.8
Lyuri,57.98,33.39,Boreal,Forest,Managed,NA,NA,3.7,2011,-0.474,-0.406,-0.067,0.446,5.43,7.43,7.43,0.358,0.357,27.35,3.72,2.83,2,Loamy sand,3,1,594.2,1072.9
Escolar,40,-3.5,Mediterranean,Grassland,NA,250,NA,NA,2009,-0.371,-0.068,0.301,0.585,15.36,16.91,16.58,0.146,0.218,13.92,2.51,0.52,3,Sandy loam,19,11,198.6,312.5
Escolar,40,-3.5,Mediterranean,Grassland,NA,351,NA,NA,2010,0.798,0.446,-0.371,-0.068,14.04,15.26,15.11,0.217,0.272,20.86,2.51,0.52,3,Sandy loam,19,11,226.7,351
FerrÈa,45.81,8.62,Mediterranean,Forest,Managed,1286.68,NA,NA,2008,-0.365,-0.828,-0.929,-1.586,12.02,11.48,11.44,0.359,0.36,71.63,3.81,3.2,4,Silt loam,19,1,NA,NA
Kurth,47,-92.4,Temperate,Forest,Unmanaged,NA,NA,3.93,2010,-1.352,-1.18,-1.404,-0.737,5.71,8.11,7.88,0.358,0.357,30.64,4.2,0,2,Loamy sand,19,0,651.9,1217.4
Kurth,47,-92.4,Temperate,Forest,Unmanaged,NA,NA,3.71,2011,-0.127,-0.08,-1.352,-1.18,4.99,7.63,7.64,0.349,0.349,23.95,4.2,0,2,Loamy sand,19,0,620.9,1150
Kurth,47,-92.4,Temperate,Forest,Unmanaged,NA,NA,5.53,2012,-0.756,0.469,-0.127,-0.08,6.68,7.71,7.58,0.34,0.331,28.23,4.2,0,2,Loamy sand,19,0,654.5,1226.3
Kurth,47,-92.4,Temperate,Forest,Unmanaged,NA,NA,3.97,2010,-1.352,-1.18,-1.404,-0.737,5.71,8.11,7.88,0.358,0.357,30.64,4.2,0,2,Loamy sand,19,0,651.9,1217.4
Kurth,47,-92.4,Temperate,Forest,Unmanaged,NA,NA,3.69,2011,-0.127,-0.08,-1.352,-1.18,4.99,7.63,7.64,0.349,0.349,23.95,4.2,0,2,Loamy sand,19,0,620.9,1150
Kurth,47,-92.4,Temperate,Forest,Unmanaged,NA,NA,5.53,2012,-0.756,0.469,-0.127,-0.08,6.68,7.71,7.58,0.34,0.331,28.23,4.2,0,2,Loamy sand,19,0,654.5,1226.3
Kurth,47,-92.4,Temperate,Forest,Managed,NA,NA,3.34,2010,-1.352,-1.18,-1.404,-0.737,5.71,8.11,7.88,0.358,0.357,30.64,4.2,0,2,Loamy sand,19,0,651.9,1217.4
Kurth,47,-92.4,Temperate,Forest,Managed,NA,NA,3.42,2011,-0.127,-0.08,-1.352,-1.18,4.99,7.63,7.64,0.349,0.349,23.95,4.2,0,2,Loamy sand,19,0,620.9,1150
Kurth,47,-92.4,Temperate,Forest,Managed,NA,NA,4.88,2012,-0.756,0.469,-0.127,-0.08,6.68,7.71,7.58,0.34,0.331,28.23,4.2,0,2,Loamy sand,19,0,654.5,1226.3
ArchMiller,32.4,-84.87,Subtropical,Forest,Managed,1200,NA,NA,2012,-1.246,-2.212,-1.534,-1.055,19.29,20.31,20.24,0.232,0.228,32.11,3.77,3.41,1,Sand,19,1,754,1415.8
ArchMiller,32.37,-84.78,Subtropical,Forest,Managed,1250,NA,NA,2012,-1.372,-2.712,-1.47,-1.876,19.3,20.08,20.01,0.171,0.165,31.73,4.03,3.11,1,Sand,3,1,529.4,1361.8
ArchMiller,32.38,-84.88,Subtropical,Forest,Managed,1309.62,NA,NA,2012,-1.119,-1.571,-1.483,-0.467,19.29,20.31,20.24,0.232,0.228,32.11,3.77,3.41,1,Sand,19,1,770,1437
ArchMiller,32.36,-84.79,Subtropical,Forest,Managed,1390,NA,NA,2012,-1.372,-2.712,-1.47,-1.876,19.3,20.08,20.01,0.171,0.165,31.73,4.03,3.11,1,Sand,3,1,560.1,1417.7
Adewopo,27.46,-81.75,Subtropical,Grassland,Managed,1122.87,573.38,NA,2013,-0.536,-0.986,-1.133,-1.923,22.95,23.67,23.65,0.171,0.17,38.21,4.02,2.2,1,Sand,3,1,560.1,1463.9
Tu,29.7,103.23,Subtropical,Forest,Managed,428,219.86,NA,2010,0.75,-0.006,-0.848,-0.901,13.74,14.32,14.31,0.481,0.482,84.18,4.71,2.82,4,Silt loam,4,1,798.1,1476.7
Zhang,35.22,107.67,Temperate,Forest,Managed,635,NA,NA,2011,0.526,0.597,0.334,-0.642,10.79,11.72,11.53,0.276,0.274,24.81,2.3,2.04,2,Loamy sand,19,1,407.8,660.9
Zhang,35.22,107.67,Temperate,Grassland,Managed,542,NA,NA,2011,0.526,0.597,0.334,-0.642,10.79,11.72,11.53,0.276,0.274,24.81,2.3,2.04,2,Loamy sand,19,1,407.8,660.9
Zhang,35.22,107.67,Temperate,Forest,Managed,745,NA,NA,2012,0.816,0.876,0.526,0.597,10.73,11.47,11.39,0.28,0.273,20.29,2.3,2.04,2,Loamy sand,19,1,489.7,815.2
Zhang,35.22,107.67,Temperate,Grassland,Managed,602,NA,NA,2012,0.816,0.876,0.526,0.597,10.73,11.47,11.39,0.28,0.273,20.29,2.3,2.04,2,Loamy sand,19,1,489.7,815.2
Zhang,35.22,107.67,Temperate,Forest,Managed,961,NA,NA,2013,-0.526,0.241,0.816,0.876,12.37,12.91,12.77,0.238,0.231,19.96,2.3,2.04,2,Loamy sand,19,1,508.9,876
Zhang,35.22,107.67,Temperate,Grassland,Managed,605,NA,NA,2013,-0.526,0.241,0.816,0.876,12.37,12.91,12.77,0.238,0.231,19.96,2.3,2.04,2,Loamy sand,19,1,508.9,876
Jia,38.82,110.38,Temperate,Grassland,Managed,NA,NA,0.77,2011,-0.409,-0.132,0.361,-0.4,8.86,10.47,9.87,0.152,0.237,15.48,0,0.57,3,Sandy loam,0,11,195.4,323.1
Deng,23.333,113.5,Subtropical,Forest,Managed,1714.31,NA,NA,2009,-0.932,-1.054,-0.53,-0.609,22.1,23.08,23.09,0.39,0.392,53.02,4.59,2.25,4,Silt loam,3,10,616,1194.8
Zeng,37.88,114.27,Temperate,Forest,Natural,684.97,NA,NA,2012,0.577,0.022,-0.523,-0.724,12.08,13.19,13.08,0.262,0.259,22.32,1.73,2.35,2,Loamy sand,19,1,273.4,654.8
Zeng,37.88,114.27,Temperate,Shrubland,Natural,484.4,NA,NA,2012,0.577,0.022,-0.523,-0.724,12.08,13.19,13.08,0.262,0.259,22.32,1.73,2.35,2,Loamy sand,19,1,273.4,654.8
Zeng,37.88,114.27,Temperate,Grassland,Natural,703.89,NA,NA,2012,0.577,0.022,-0.523,-0.724,12.08,13.19,13.08,0.262,0.259,22.32,1.73,2.35,2,Loamy sand,19,1,273.4,654.8
Sun,42.42,117.25,Temperate,Forest,Managed,NA,NA,1.87,2013,0.792,0.423,-0.16,-0.163,0.49,3.81,3.74,0.334,0.327,22.13,3.79,1.99,2,Loamy sand,5,2,450,710.5
Sun,42.42,117.25,Temperate,Forest,Managed,NA,NA,1.56,2013,0.792,0.423,-0.16,-0.163,0.49,3.81,3.74,0.334,0.327,22.13,3.79,1.99,2,Loamy sand,5,2,450,710.5
Sun,42.42,117.25,Temperate,Forest,Managed,NA,NA,1.63,2013,0.792,0.423,-0.16,-0.163,0.49,3.81,3.74,0.334,0.327,22.13,3.79,1.99,2,Loamy sand,5,2,450,710.5
Kukumägi,58.23,27.3,Temperate,Forest,Natural,NA,NA,5.17,2008,-0.25,-0.418,-1.294,-1.954,7.52,7.89,7.83,0.363,0.363,29.87,2.97,3.09,2,Loamy sand,19,1,606,1014.4
Kukumägi,58.23,27.3,Temperate,Forest,Natural,NA,NA,6.24,2009,1.584,1.043,-0.25,-0.418,6.14,7.16,7.2,0.365,0.365,28.09,2.97,3.09,2,Loamy sand,19,1,577.3,997.2
Wang,49.32,120.05,Temperate,Grassland,Natural,465,NA,NA,2009,-0.236,-1.126,-1.577,-1.902,-0.46,4.45,4.15,0.253,0.243,14.8,4.86,1.85,3,Sandy loam,3,2,274.4,427.6
Wang,49.32,120.05,Temperate,Grassland,Natural,539.2,NA,NA,2010,-0.18,-0.291,-0.236,-1.126,-0.86,4.09,3.74,0.24,0.23,11.76,4.86,1.85,3,Sandy loam,3,2,288.5,473.1
Wang,49.32,120.05,Temperate,Grassland,Natural,553.2,NA,NA,2011,-0.607,-0.5,-0.18,-0.291,-0.48,5.55,5.25,0.211,0.198,12.41,4.86,1.85,3,Sandy loam,3,2,321,554
Wang,38.27,-119.57,Temperate,Grassland,Natural,1341.55,NA,NA,1994,-1.106,-0.041,0.877,0.483,1.81,4.53,4.43,0.332,0.352,22.18,3.92,1.62,4,Silt loam,3,16,NA,NA
Wang,38.27,-119.57,Temperate,Forest,Natural,1089.89,NA,NA,1994,-1.106,-0.041,0.877,0.483,1.81,4.53,4.43,0.332,0.352,22.18,3.92,1.62,4,Silt loam,3,16,NA,NA
Wang,38.27,-119.57,Temperate,Forest,Natural,1536.44,NA,NA,1994,-1.106,-0.041,0.877,0.483,1.81,4.53,4.43,0.332,0.352,22.18,3.92,1.62,4,Silt loam,3,16,NA,NA
Gao,35.2,107.67,Temperate,Agriculture,Managed,423.85,NA,NA,2008,-0.873,-1.414,-0.886,-1.05,10.93,12.24,12.11,0.236,0.223,15.52,2.3,2.04,2,Loamy sand,19,1,483.9,764.2
Zhang,32.05,118.83,Temperate,Forest,Natural,915.81,NA,NA,2008,-0.464,-1.047,-0.969,-1.29,15.85,16.63,16.63,0.336,0.336,36.9,0,2.14,2,Loamy sand,0,1,NA,NA
Zhang,32.05,118.83,Temperate,Shrubland,Natural,957.44,NA,NA,2008,-0.464,-1.047,-0.969,-1.29,15.85,16.63,16.63,0.336,0.336,36.9,0,2.14,2,Loamy sand,0,1,NA,NA
Zhang,32.05,118.83,Temperate,Grassland,Natural,1562.93,NA,NA,2008,-0.464,-1.047,-0.969,-1.29,15.85,16.63,16.63,0.336,0.336,36.9,0,2.14,2,Loamy sand,0,1,NA,NA
Zhang,35.95,104.15,Temperate,Grassland,Managed,287.61,200.57,NA,2011,-1.148,-1.288,-0.627,-1.322,7.93,10.12,9.72,0.207,0.236,14.83,0,0.82,2,Loamy sand,0,11,NA,NA
Zanchi,-2.609,-60.209,Tropical,Forest,Natural,927,NA,NA,2007,0.406,1.105,1.253,0.956,25.59,26.07,26.08,0.4,0.399,105.24,6.09,0.98,3,Sandy loam,19,7,1129.4,2903.8
Zanchi,-2.606,-60.21,Tropical,Forest,Natural,1306,NA,NA,2007,0.406,1.105,1.253,0.956,25.59,26.07,26.08,0.4,0.399,105.24,6.09,0.98,3,Sandy loam,19,7,1189.7,2815.7
Zanchi,-2.605,-60.221,Tropical,Forest,Natural,2195,NA,NA,2007,0.406,1.105,1.253,0.956,25.59,26.07,26.08,0.4,0.399,105.24,6.09,0.98,3,Sandy loam,19,7,1125.9,2710.6
Zanchi,-2.603,-60.229,Tropical,Forest,Natural,1552,NA,NA,2007,0.406,1.105,1.253,0.956,25.59,26.07,26.08,0.4,0.399,105.24,6.09,0.98,3,Sandy loam,19,7,1123.1,2815.6
Zanchi,-2.59,-60.031,Tropical,Forest,Natural,1457,NA,NA,2007,0.558,1.299,1.411,1.118,25.52,26,26.02,0.457,0.46,103.12,5.87,0,4,Silt loam,19,0,1158.8,2913.9
Cai,47.18,128.88,Temperate,Forest,Natural,NA,293.67,NA,2009,-0.216,-3.706,-1.676,-3.878,0.64,4.37,4.16,0.355,0.347,29.52,4.57,2.96,2,Loamy sand,18,10,579.9,991
Jia,38.81,110.38,Temperate,Grassland,Unmanaged,NA,NA,1.45,2011,-0.409,-0.132,0.361,-0.4,8.86,10.47,9.87,0.152,0.237,15.48,0,0.57,3,Sandy loam,0,11,186.4,302.1
Jia,38.81,110.38,Temperate,Grassland,Unmanaged,NA,NA,1.3,2011,-0.409,-0.132,0.361,-0.4,8.86,10.47,9.87,0.152,0.237,15.48,0,0.57,3,Sandy loam,0,11,186.4,302.1
Jia,38.81,110.38,Temperate,Grassland,Unmanaged,NA,NA,1.63,2011,-0.409,-0.132,0.361,-0.4,8.86,10.47,9.87,0.152,0.237,15.48,0,0.57,3,Sandy loam,0,11,186.4,302.1
Jia,38.81,110.38,Temperate,Grassland,Unmanaged,NA,NA,0.98,2011,-0.409,-0.132,0.361,-0.4,8.86,10.47,9.87,0.152,0.237,15.48,0,0.57,3,Sandy loam,0,11,186.4,302.1
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,0.5,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,0.3,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,0.55,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,0.5,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,0.9,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,0.5,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,1.7,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,0.6,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,7.1,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,1,2007,-0.012,-0.204,-0.161,0.165,8.45,8.82,8.85,0.353,0.354,31.78,2.75,2.88,2,Loamy sand,19,1,305.8,455.8
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,2,2011,0.013,0.264,0.499,0.484,8.28,8.64,8.57,0.329,0.322,23.7,2.75,2.88,2,Loamy sand,19,1,376.2,565.7
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,2.5,2011,0.013,0.264,0.499,0.484,8.28,8.64,8.57,0.329,0.322,23.7,2.75,2.88,2,Loamy sand,19,1,376.2,565.7
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,3.5,2011,0.013,0.264,0.499,0.484,8.28,8.64,8.57,0.329,0.322,23.7,2.75,2.88,2,Loamy sand,19,1,376.2,565.7
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,3,2011,0.013,0.264,0.499,0.484,8.28,8.64,8.57,0.329,0.322,23.7,2.75,2.88,2,Loamy sand,19,1,376.2,565.7
Bujalsky,50.24,12.657,Temperate,Forest,Unmanaged,NA,NA,1.7,2011,0.013,0.264,0.499,0.484,8.28,8.64,8.57,0.329,0.322,23.7,2.75,2.88,2,Loamy sand,19,1,376.2,565.7
Yang,22.567,112.833,Subtropical,Forest,Managed,662.256,NA,NA,2011,-0.841,-0.325,0.544,0.517,21.48,22.52,22.52,0.375,0.377,43.3,2.5,2.75,4,Silt loam,19,10,702.6,1428.7
Zong,30.85,91.08,NA,Grassland,Unmanaged,NA,NA,1.76,2011,-0.408,-1.268,-1.486,-1.309,-2.75,2.32,2.18,0.367,0.366,24.9,0,1.16,3,Sandy loam,0,2,63,87.8
Zong,30.85,91.08,NA,Grassland,Unmanaged,NA,NA,1.69,2011,-0.408,-1.268,-1.486,-1.309,-2.75,2.32,2.18,0.367,0.366,24.9,0,1.16,3,Sandy loam,0,2,63,87.8
Zong,30.85,91.08,NA,Grassland,Unmanaged,NA,NA,1.84,2012,-0.712,-0.611,-0.408,-1.268,-3.11,2.47,2.37,0.366,0.362,20.81,0,1.16,3,Sandy loam,0,2,71.5,98.6
Zong,30.85,91.08,NA,Grassland,Unmanaged,NA,NA,1.88,2012,-0.712,-0.611,-0.408,-1.268,-3.11,2.47,2.37,0.366,0.362,20.81,0,1.16,3,Sandy loam,0,2,71.5,98.6
Ma,21.744,104.314,Subtropical,Forest,Managed,1022.72,746.46,NA,2013,-0.188,-0.783,-1.063,-1.125,17.3,18.27,18.3,0.454,0.462,86.57,5.33,3.01,4,Silt loam,6,16,1439.8,2695.7
Seok,36.04,126.72,NA,Forest,Managed,440,240,NA,2012,0.525,0.518,0.372,-0.084,12.6,13.25,13.23,0.39,0.398,47.61,2.54,3.22,3,Sandy loam,19,10,512.3,874.8
Seok,36.04,126.72,NA,Forest,Managed,630,350,NA,2012,0.525,0.518,0.372,-0.084,12.6,13.25,13.23,0.39,0.398,47.61,2.54,3.22,3,Sandy loam,19,10,512.3,874.8
Martins,-33.611,150.741,NA,Forest,Managed,160.74,NA,NA,2013,0.141,0.97,1.38,1.308,17.18,17.36,17.32,0.31,0.31,33.72,3.44,0,3,Sandy loam,3,3,912.4,1341.4
Martins,-33.611,150.741,NA,Grassland,Managed,332.02,NA,NA,2013,0.141,0.97,1.38,1.308,17.18,17.36,17.32,0.31,0.31,33.72,3.44,0,3,Sandy loam,3,3,912.4,1341.4
Song,42.033,116.267,Temperate,Grassland,Managed,745.89,NA,NA,2011,-0.089,-0.524,-0.813,-1.378,2.6,3.55,3.25,0.276,0.262,14.19,2.26,1.65,2,Loamy sand,19,1,297.4,451.4
Kobler,47.842,14.442,Temperate,Forest,Natural,751,589,NA,2011,-1.379,-0.905,0.373,1.266,6.73,7.33,7.32,0.375,0.376,39.26,4.45,1.97,2,Loamy sand,18,7,763,1284.2
Kobler,47.842,14.442,Temperate,Forest,Natural,933,645,NA,2011,-1.379,-0.905,0.373,1.266,6.73,7.33,7.32,0.375,0.376,39.26,4.45,1.97,2,Loamy sand,18,7,763,1284.2
Liu,33.316,120.75,NA,Agriculture,Managed,278,227.05,2.75,2009,-0.709,-0.978,-0.517,-0.947,NA,NA,NA,NA,NA,NA,NA,NA,0,Reserved,0,0,NA,NA
Liu,33.316,120.75,NA,Agriculture,Managed,293,265.051,3.12,2009,-0.709,-0.978,-0.517,-0.947,NA,NA,NA,NA,NA,NA,NA,NA,0,Reserved,0,0,NA,NA
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,116.16,NA,NA,2010,1.089,1.199,0.828,0.433,6.89,9.43,9.27,0.331,0.328,27.74,1.3,2.19,2,Loamy sand,19,1,564.9,948
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,177,NA,NA,2011,1.148,1.369,1.089,1.199,6.29,9.08,9.02,0.304,0.298,23.03,1.3,2.19,2,Loamy sand,19,1,503.9,930.1
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,266,NA,NA,2012,-1.284,-0.057,1.148,1.369,9.33,11.03,10.94,0.265,0.251,16.69,1.3,2.19,2,Loamy sand,19,1,433.4,817
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,177.12,NA,NA,2010,1.089,1.199,0.828,0.433,6.89,9.43,9.27,0.331,0.328,27.74,1.3,2.19,2,Loamy sand,19,1,564.9,948
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,284,NA,NA,2011,1.148,1.369,1.089,1.199,6.29,9.08,9.02,0.304,0.298,23.03,1.3,2.19,2,Loamy sand,19,1,503.9,930.1
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,337,NA,NA,2012,-1.284,-0.057,1.148,1.369,9.33,11.03,10.94,0.265,0.251,16.69,1.3,2.19,2,Loamy sand,19,1,433.4,817
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,155.22,NA,NA,2010,1.089,1.199,0.828,0.433,6.89,9.43,9.27,0.331,0.328,27.74,1.3,2.19,2,Loamy sand,19,1,564.9,948
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,239,NA,NA,2011,1.148,1.369,1.089,1.199,6.29,9.08,9.02,0.304,0.298,23.03,1.3,2.19,2,Loamy sand,19,1,503.9,930.1
Mbonimpa,45.273,-97.837,Temperate,Grassland,Managed,302,NA,NA,2012,-1.284,-0.057,1.148,1.369,9.33,11.03,10.94,0.265,0.251,16.69,1.3,2.19,2,Loamy sand,19,1,433.4,817
Kou,32.583,119.7,Subtropical,Agriculture,Managed,NA,NA,3.01,2011,-0.677,-0.397,0.154,-0.168,15.46,16.17,16.11,0.295,0.292,40.22,0,2.57,2,Loamy sand,0,10,494.6,1032.6
Kou,32.583,119.7,Subtropical,Agriculture,Managed,NA,NA,7.95,2011,-0.677,-0.397,0.154,-0.168,15.46,16.17,16.11,0.295,0.292,40.22,0,2.57,2,Loamy sand,0,10,494.6,1032.6
Lamaguti,-21.217,-48.1,NA,NA,NA,1789.42841,NA,NA,2013,-0.514,-1.92,-0.669,-1.651,22.87,23.85,23.86,0.374,0.395,41.01,2.72,2.58,4,Silt loam,19,7,883.2,1543.8
Lamaguti,-21.217,-48.1,NA,NA,NA,1256.66134,NA,NA,2013,-0.514,-1.92,-0.669,-1.651,22.87,23.85,23.86,0.374,0.395,41.01,2.72,2.58,4,Silt loam,19,7,883.2,1543.8
Lamaguti,-21.217,-48.1,NA,NA,NA,1072.70141,NA,NA,2013,-0.514,-1.92,-0.669,-1.651,22.87,23.85,23.86,0.374,0.395,41.01,2.72,2.58,4,Silt loam,19,7,883.2,1543.8
Wang,23.772,101.268,Subtropical,Forest,Managed,736.73,NA,NA,2013,-1.598,-1.869,-1.362,-0.881,19.15,18.81,18.81,0.41,0.425,58.97,4.42,2.81,4,Silt loam,18,16,920.1,2132.3
Wang,23.772,101.268,Subtropical,Forest,Managed,1098.19,NA,NA,2013,-1.598,-1.869,-1.362,-0.881,19.15,18.81,18.81,0.41,0.425,58.97,4.42,2.81,4,Silt loam,18,16,920.1,2132.3
Wang,23.772,101.268,Subtropical,Forest,Managed,882.27,NA,NA,2013,-1.598,-1.869,-1.362,-0.881,19.15,18.81,18.81,0.41,0.425,58.97,4.42,2.81,4,Silt loam,18,16,920.1,2132.3
Shen,30.5,91.066,Temperate,Grassland,Managed,NA,NA,1.47,2013,-0.762,-0.367,-1.292,-0.974,-3.47,2.56,2.41,0.385,0.383,31.55,0.91,1.19,3,Sandy loam,0,2,128.6,183.3
Mildner,47.55,7.6,Temperate,Forest,Natural,887,NA,NA,2008,0.047,0.434,0.407,0.389,9.95,9.68,9.62,0.426,0.423,34.6,2.8,3.31,2,Loamy sand,19,1,NA,NA
Mildner,47.55,7.6,Temperate,Forest,Natural,906,NA,NA,2009,-0.271,-0.077,0.047,0.434,10.45,10.21,10.1,0.406,0.396,31.69,2.8,3.31,2,Loamy sand,19,1,NA,NA
Mildner,47.55,7.6,Temperate,Forest,Natural,909,NA,NA,2009,-0.271,-0.077,0.047,0.434,10.45,10.21,10.1,0.406,0.396,31.69,2.8,3.31,2,Loamy sand,19,1,NA,NA
Mildner,47.55,7.6,Temperate,Forest,Natural,784,NA,NA,2010,-0.185,-0.227,-0.271,-0.077,9.18,9.45,9.43,0.432,0.434,39.21,2.8,3.31,2,Loamy sand,19,1,NA,NA
Mildner,47.55,7.6,Temperate,Forest,Natural,845,NA,NA,2011,-0.522,-0.447,-0.185,-0.227,11.05,10.82,10.74,0.394,0.389,27.88,2.8,3.31,2,Loamy sand,19,1,NA,NA
Kulmala,61.87,24.28,Boreal,Forest,Natural,1922.43,NA,NA,2008,1.183,0.938,0.087,-0.915,5.3,5.75,5.7,0.369,0.37,29.32,3.63,0,2,Loamy sand,3,0,564.9,874
Kulmala,61.87,24.28,Boreal,Forest,Natural,2266.81,NA,NA,2009,-0.046,1.115,1.183,0.938,4.27,5.41,5.42,0.351,0.348,17.77,3.63,0,2,Loamy sand,3,0,664.7,1046.1
Kulmala,61.87,24.28,Boreal,Forest,Natural,1559.14,NA,NA,2010,-0.896,-0.866,-0.046,1.115,3,5.77,5.63,0.359,0.359,23.48,3.63,0,2,Loamy sand,3,0,582.4,940.4
Kulmala,61.87,24.28,Boreal,Forest,Natural,1441.83,NA,NA,2011,-0.501,-1.112,-0.896,-0.866,5.27,6.77,6.68,0.361,0.361,24.45,3.63,0,2,Loamy sand,3,0,578.5,940.7
Zhang,43.633,116.7,Temperate,Grassland,Managed,NA,NA,1.66,2010,-0.744,-1.069,-1.011,-1.319,1.67,4.06,3.75,0.246,0.227,14.3,0,1.37,2,Loamy sand,0,2,239,360.7
